ibgecode,mun,uf,div_regiao,distcap,ideb_2005,ideb_2007,ideb_2009,ideb_2011,mtm_2005,mtm_2007,mtm_2009,mtm_2011,lp_2005,lp_2007,lp_2009,lp_2011,pop_2005,Dpibpc_0005,pibpc_2005,pibpc_2007,pibpc_2009,pibpc_2011,idh_2000
2200103,13,PI,0,80,2.6,2.5,3.8,3.4,164.2,178.36,199.48,196.16,154.2,147.05,168.82,172.46,5239,-4.280168351,0.416254805,0.495974592,0.549440365,0.592793071,0.447
2200202,14,PI,0,91,2.6,4.2,4,5.2,167.4,200.76,195.78,207.65,160,190.55,174.03,188.1,15924,0.689352657,0.265415906,0.315216903,0.32842745,0.346186786,0.506
2200277,26,PI,1,321,3.2,3.7,3.2,4,182.8,196.34,179.58,184.06,179,172.23,161.64,170.79,4853,2.919485042,1.007747036,1.205877681,1.547757095,1.393826586,0.431
2200301,35,PI,1,68,2.5,2.8,3.1,4.3,150.4,165.15,175.67,183.69,149.2,153.9,149.76,163.1,12250,-2.183791354,4.074585635,4.963367961,5.174151436,6.185899281,0.367
2200400,37,PI,0,38,2.7,3.2,3.8,4.6,166,176.09,187.56,198.1,161.6,163.31,170.22,185.96,38519,-1.2348476,5.019887279,5.379263302,5.570768723,5.552254861,0.424
2200459,38,PI,0,384,2.4,2.5,3.5,3.8,143.2,163.78,171.81,186.98,144.8,142.72,148.01,174.15,4234,4.397448436,0.5240635,0.579735974,0.856372738,0.582475169,0.403
2200608,44,PI,0,110,2.8,4.2,3.7,3.9,158.6,220.22,182.96,181.07,159.8,176.4,161.71,168.38,7201,-2.66503469,0.814159981,0.827941511,0.881378013,0.827190946,0.476
2200707,46,PI,0,454,2.2,2.5,3,3,149,157.65,173.17,159.08,129.4,144.37,155.12,145.84,7673,4.741477401,1.264665942,1.400415225,1.686311278,1.787450767,0.425
2200905,69,PI,1,160,3.1,3.8,3.8,4.1,161,194.57,196.38,187.12,158.6,175.77,174.33,171.15,6143,2.093697868,1.068743818,1.178466596,1.33847725,1.283837673,0.416
2201002,72,PI,0,176,2.4,2.6,2.5,NA,165,168.35,175.57,NA,164.2,153.84,154.35,NA,4727,1.398878461,0.233614645,0.244495798,0.30452176,0.305213423,0.412
2201051,75,PI,1,213,2.2,2.2,2.6,3.5,141.2,151.97,161.92,181.49,133.8,135.59,148.31,175.72,7385,1.503519327,1.307188591,1.540605096,1.706560147,1.711590727,0.341
2201150,81,PI,0,405,2.8,3.1,3,3.3,167,175.86,166.02,168.46,160.2,159.59,145.3,156.74,8787,13.71476338,3.849640972,2.797608467,7.038150738,3.296606335,0.349
2201200,93,PI,0,109,2.7,3.6,4,4.6,164.8,181.94,192.61,194.05,157.4,171.19,176.38,179.52,42596,5.378377081,7.139079216,7.924424842,8.480307728,8.674455179,0.417
2201309,95,PI,0,611,2.4,2.7,3.2,2.8,142.8,175.73,179.52,160.82,131.8,158.81,174.5,146.5,3235,-6.344084237,0.674661105,0.877101968,0.926149079,0.772267374,0.413
2201408,98,PI,0,87,2.7,3.1,3.5,3,157.8,178.14,177.2,151.29,145.6,163.49,159.75,151.2,7244,-0.220256161,1.096476223,1.293059438,1.404275093,1.434417504,0.481
2201556,105,PI,1,337,3,3,3.8,4.6,156.8,179.34,177.39,200.79,147.8,153.11,159.7,172.19,2881,-0.043975589,0.185731628,0.228383057,0.290786948,0.289831504,0.301
2201572,110,PI,1,324,2.7,3.3,4,NA,169.2,180.82,205.56,NA,151.4,172.48,170.84,NA,2482,4.470772226,0.133160718,0.156523379,0.174278846,0.182208364,0.324
2201705,115,PI,0,310,2.6,2.9,3.4,3.4,173.2,168.35,171.79,175.82,153.2,152.98,157.43,153.93,4780,-0.842690005,0.396998106,0.493243599,0.707116602,0.766340206,0.441
2201739,117,PI,1,405,2.4,2.9,3.6,4.3,155.2,175.16,188.63,198.97,140.4,154.38,168.52,176.44,9720,2.066997294,1.059689659,1.119841532,1.054722164,1.04039012,0.257
2201770,119,PI,0,109,2.4,2.4,3.6,4,154,166.33,182.86,180.52,153,155.32,165.57,166.13,5904,4.318028871,0.411397059,0.524432253,0.568852661,0.570264648,0.351
2201903,128,PI,0,473,2.8,3,3.5,4.3,165.6,173.32,179.84,185.52,162.2,155.19,162.82,165.5,16966,13.4270135,3.600177962,3.393901848,5.155908068,4.332886667,0.486
2201929,130,PI,0,451,2,1.8,2.2,2.8,148,154.6,160.49,170.9,136.8,139.85,141.64,151.05,4821,2.548960854,0.970741737,1.008035173,1.140795802,1.098635148,0.402
2202026,147,PI,1,191,2.8,2.9,5.4,5.7,170,167.61,216.16,218.14,169.2,159.45,202.87,207.02,7979,0.554515676,3.22267058,3.644050104,3.898570003,3.52905464,0.368
2202059,150,PI,0,87,2.1,3.3,4.4,4.4,154.2,182.66,190.73,203.63,141.2,167.15,174.71,165.1,9043,-0.811093578,2.97118551,3.488283379,4.055599266,4.111918214,0.362
2202133,180,PI,1,299,2.7,3.7,3.6,4.5,161.8,178.64,173.05,199.01,152.6,160.54,152.33,166.6,5402,-0.884465127,0.33660429,0.433955841,0.455858298,0.430005725,0.35
2202174,181,PI,0,143,2,2.8,3,3.9,150.8,170.82,172.19,187.38,141.2,158.77,166.54,171.85,6328,17.5742524,0.673000108,0.943389674,1.025734044,1.138943249,0.336
2202208,182,PI,1,76,2.7,3.5,4.5,4.4,165.4,182.38,196.79,201.75,160.4,171.18,186.24,179.92,41659,-0.514855343,5.939970717,6.05506862,6.425468642,7.495540595,0.5
2202406,193,PI,1,118,2.4,2.9,3.8,4,153.4,162.69,174.87,181.23,151.2,153.39,171.33,169.49,9958,-0.919524022,0.691782185,0.842268737,0.998499478,0.99974698,0.396
2202554,200,PI,1,355,2.6,2.7,3.3,3.9,163,172.68,183.1,178.84,163.8,157.61,175.37,159.9,4125,-3.292789693,0.209657138,0.324596774,0.347989329,0.349406075,0.349
2202604,215,PI,1,141,2.9,4.1,5,4.9,175.6,183.61,209.6,200.1,168.2,171.89,196.07,186.42,18597,3.100201485,3.972699387,5.057574398,5.135780094,5.804037814,0.399
2202703,232,PI,1,226,2.4,2.5,2.9,3.7,172.6,170.38,183.52,185.8,167,158.07,171.02,177.45,25024,2.477960988,1.260577192,1.780729544,1.567065453,1.67713058,0.319
2202711,233,PI,1,109,3,3.5,4.4,NA,183.8,191.67,205.61,NA,177.6,184.89,184.73,NA,4180,0.26534684,0.351801943,0.394712459,0.462560315,0.498527661,0.384
2202729,234,PI,1,213,3.6,3.8,5,4.3,196.2,210.55,231.89,244.46,183.4,187.5,203.59,214.76,5732,20.75716118,0.257390168,0.292230518,0.333425699,0.345642541,0.264
2202752,236,PI,0,359,2.7,2.8,3.5,4,167.8,173.24,172.13,176.72,144.8,159.32,155.9,162.73,5533,11.08336228,0.471642392,0.574440985,0.683825083,0.754157932,0.445
2202778,237,PI,0,247,3.1,3.6,3.8,3.9,168.8,188.84,197.93,196.43,161.8,163.75,166.59,163.98,7450,-0.487089124,0.644316131,0.717142857,0.739450991,0.946618203,0.335
2202901,248,PI,0,647,2.7,2.6,2.8,3.2,149.6,159.87,162.6,168.26,150,140.75,150.13,154.23,24625,0.397310644,3.475811234,4.056236541,4.318770355,5.188760932,0.474
2203008,253,PI,0,669,2.5,3,3,3.6,154.8,178.15,177.87,176.01,159.8,159.09,157.69,159.88,6825,20.75716118,1.222174474,1.004599643,1.129893238,1.106446103,0.416
2203107,254,PI,0,441,2.8,3,2.9,3.3,179,184.49,172.94,186.32,167.8,155.21,158.16,180.01,9875,-1.735738219,0.854812773,0.841410185,0.944764649,1.035439483,0.46
2203206,265,PI,0,572,3.2,3.3,3.4,3.3,156.2,156.88,163.63,160.82,134.8,146.35,141.88,147.84,10448,19.92828482,2.054624277,2.325653883,2.544678055,2.662178538,0.489
2203255,271,PI,0,55,2.1,2.8,2.7,3.3,149.2,157.92,176.85,166.06,140,152.54,163.02,156.32,4122,6.29759934,0.380407434,0.433887841,0.446392006,0.482416825,0.341
2203271,269,PI,1,369,2.5,2.8,3.1,3.6,153,155.21,163.42,165.57,147.2,148.98,147.9,160.95,3924,4.406633411,0.090510115,0.123574511,0.127611354,0.130168866,0.35
2203305,274,PI,0,33,2.2,2.3,2.5,3.1,161.4,162.52,171.99,174.91,146,141.01,156.81,167.94,13741,2.378661027,1.463305431,1.709877191,1.691252144,1.882504203,0.455
2203354,278,PI,0,472,2.6,3,3.1,3.3,151.8,175.92,166.16,171.09,138,158.89,151.03,163.51,6041,3.722115285,0.752389763,0.769338434,0.881402356,0.962698106,0.407
